id,answers,prediction_text
60,دستور کے تحت پہلی صوبائی اسمبلی کے اراکین وہ ہیں جو یوم آغاز سے عین قبل موجود اس صوبے کی اسمبلی کے اراکین ہیں، اور وہ زائد اراکین جو آرٹیکل ۱۰۶ کی شق ۳ میں محولہ نشستوں کو پر کرنے کے لیے اراکین کی طرف سے قانون کے مطابق منتخب کیے جائیں گے۔,دستور کے تحت پہلی صوبائی اسمبلی کے اراکین یوم آغاز سے عین قبل موجود اس صوبے کی اسم
61,سپریم کورٹ اور ہائی کورٹ کے ججوں کی تنخواہ اور ملازمت کی شرائط کی تفصیلات جدول پنجم میں مل سکتی ہیں۔,جدول پنجم
62,'قانون' میں کوئی رسم یا رواج شامل ہے جو قانون کا اثر رکھتا ہو مگر اس میں دستور، مسلم شخصی قانون، کسی عدالت یا ٹریبونل کے ضابطہ کار سے متعلق کوئی قانون یا، اس باب کے آغاز نفاذ سے دس سال کی مدت گزرنے تک، کوئی مالی قانون یا محصولات یا فیسوں کے عائد کرنے اور جمع کرنے یا بنکاری یا بیمہ کے عمل اور طریقہ سے متعلق کوئی قانون شامل نہیں ہے۔,کوئی رسم یا رواج شامل ہے جو قانون کا اثر رکھتا ہو، مگر اس میں دستور، مسلم شخصی قانون،
63,الیکشن کمیشن حلقوں کی حدبندی بشمول مقامی حکومتوں کے انتخابی حلقوں کی حدبندی کا ذمہ دار ہے۔,الیکشن کمیشن حلقوں کی حدبندی کا ذمہ دار ہے۔
64,یہ قرار دیتا ہے کہ آرٹیکل ۱۵۲اے کو حذف کر دیا گیا اور آرٹیکل ۱۷۹ اور ۱۹۵ کو تبدیل کر دیا گیا، اور یہ تبدیلی ہمیشہ سے نافذ العمل سمجھی جائے گی۔,دستور (سترہویں ترمیم) ایکٹ، ۲۰۰۳ (ایکٹ نمبر ۳ بابت ۲۰۰۳) کے ذر
65,جی ہاں، صدر وزیر اعظم سے اپنے عہدے پر برقرار رہنے کے لیے کہہ سکتا ہے جب تک کہ اس کا جانشین وزیر اعظم کے عہدے پر فائز نہ ہو جائے۔,جی ہاں، وزیر اعظم نئے وزیر اعظم کے منتخب ہونے کے بعد بھی عہدے پر رہ
66,مجلس شوریٰ (پارلیمنٹ) کو وفاقی یا صوبائی قانون کے تحت قائم شدہ کارپوریشنز اور دیگر اداروں کی آمدنی پر محصول عائد کرنے کا اختیار ہے۔,مجلس شوریٰ (پارلیمنٹ) کو وفاقی قانون یا صوبائی قانون کے تحت قائم شدہ کسی
67,نہیں، کسی ایسے معاملے کے بارے میں جو کونسل کے سامنے زیر بحث ہوا رہا ہو معاملہ کے کسی فریق کی تحریک پر یا کسی ایسے معاملے کے بارے میں، جو اس آرٹیکل کے تحت کونسل کے سامنے شکایت کا مناسب موضوع فی الواقع ہو، یا رہا ہو سکتا ہو یا ہونا چاہیے، کسی بھی شخص کی تحریک پر، کسی عدالت کے سامنے کوئی کارروائی نہیں کی جائے گی۔,نہیں، کونسل کے زیر غور معاملے کے بارے میں کسی بھی شخص کی تحریک پر، کسی عدالت
68,نہیں، ایسا بل صدر کی ماقبل منظوری کے بغیر قومی اسمبلی میں پیش نہیں کیا جا سکتا۔,نہیں، کوئی ایسا بل جو صوبوں میں ٹیکس کی تقسیم کو تبدیل کرتا ہو، صدر کی ما قبل منظوری
69,جی ہاں، یوم آغاز سے چھ ماہ کی مدت کے لیے، کوئی وفاقی وزیر یا وزیر مملکت یا کسی صوبے کا وزیر اعلیٰ یا صوبائی وزیر ایسا شخص ہو سکتا ہے جو پارلیمنٹ یا اس صوبے کی صوبائی اسمبلی کا رکن نہ ہو۔,جی ہاں، دستور میں شامل کسی امر کے باوجود، یوم آغاز سے چھ ماہ کی مدت کے لی
70,پاکستان میں قومی اسمبلی کے رکن منتخب ہونے کے لیے کم از کم عمر پچیس سال ہے۔,پاکستان میں قومی اسمبلی کے رکن منتخب ہونے کے لیے پچیس سال سے کم عمر کا ہونا چاہ
71,عدالت عظمیٰ اور عدالت عالیہ کو توہین عدالت کی سزا دینے کا اختیار ہے۔,کسی عدالت کو کسی ایسے شخص کو سزا دینے کا اختیار ہے جو عدالت کی قانونی کارروائی کی
72,چیف جسٹس عدالت عظمیٰ کے دوسرے ججوں کو حلف دلواتا ہے۔,چیف جسٹس پاکستان صدر کے سامنے، اور عدالت عظمیٰ کے دوسرے ججوں کو حلف
73,اسلامی جمہوریہ پاکستان کا عبوری دستور، مع ان ایکٹوں اور صدر کے فرامین کے، منسوخ کیا گیا ہے۔,اسلامی جمہوریہ پاکستان کا عبوری دستور، مع ان ایکٹوں اور صدر کے فرامین کے جن کے ذریعے
74,صدر پاکستان کے اٹارنی جنرل کو مقرر کرتا ہے۔,صدر پاکستان کے اٹارنی جنرل کو مقرر کرتا ہے۔
75,جی ہاں، حکومت کسی بھی تجارت یا پیشے کو اجرت نامہ کے طریقہ کار کے ذریعے منضبط کر سکتی ہے، آزادانہ مقابلہ کے مفاد کے پیش نظر تجارت، کاروبار یا صنعت کو منضبط کر سکتی ہے، اور دیگر اشخاص کو قطعی یا جزوی طور پر خارج کر کے کسی تجارت، کاروبار، صنعت یا خدمت کا انتظام کر سکتی ہے۔,جی ہاں، ہر شہری کو کوئی جائز تجارت، کاروبار یا پیشہ یا مشغلہ اختیار کر
76,ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ ﺍﭘﻨﮯ ﭘﮩﻠﮯ ﺍﺟﻼﺱ ﮐﯽ ﺗﺎﺭﯾﺦ ﺳﮯ ﭘﺎﻧﭻ ﺳﺎﻝ ﮐﯽ ﻣﯿﻌﺎﺩ ﺗﮏ ﺑﺮﻗﺮﺍﺭ ﺭﮨﺘﯽ ﮨﮯ ﺍﻭﺭ ﺍﭘﻨﯽ ﻣﯿﻌﺎﺩ ﮐﮯ ﺍﺧﺘﺘﺎﻡ ﭘﺮ ﺗﻮﭦ ﺟﺎﺗﯽ ﮨﮯ۔,صوبائی اسمبلی اپنے پہلے اجلاس کی تاریخ سے پانچ سال کی میعاد تک برقرار رہتی ہے اور 
77,وہ اعمال جو توہین عدالت سمجھے جا سکتے ہیں ان میں عدالت کی قانونی کارروائی کی مذمت کرنا، اس میں مداخلت یا مزاحمت کرنا، عدالت کے کسی حکم کی نافرمانی کرنا، عدالت یا جج کو بدنام کرنا، کوئی ایسا فعل کرنا جو عدالت یا جج کے بارے میں نفرت، تضحیک یا توہین کا باعث ہو، عدالت کے سامنے زیر سماعت معاملے کے فیصلے پر مضر اثر ڈالنا، یا کوئی اور ایسا فعل کرنا جو قانون کے تحت توہین عدالت کا موجب ہو۔,کسی عدالت کو کسی ایسے شخص کو سزا دینے کا اختیار ہوگا جو عدالت کی قانونی کارروائی کی
78,ایسے قانونی مقدمات وفاق کی طرف سے یا اس کے خلاف کیے جائیں گے، اور اگر یوم آغاز سے عین قبل کوئی مذکورہ قانونی کارروائی کسی عدالت میں تصفیہ طلب تھی تو اس صورت میں اس کارروائی میں اس دن سے صوبے کی بجائے وفاق کا تبدیل کیا جانا متصور ہوگا۔,اگر کوئی قانونی مقدمہ صوبے کی ذمہ داری تھا لیکن دستور کے تحت اب وفاق کی
79,نہیں، اس آرٹیکل کی رو سے ایڈووکیٹ جنرل ووٹ دینے کا مستحق نہیں ہے۔,نہیں، ایڈووکیٹ جنرل کو صوبائی اسمبلی میں ووٹ دینے کا مستحق نہ ہوگا۔
80,نہیں، کسی ملزم کو اپنے خلاف گواہ بننے پر مجبور نہیں کیا جا سکتا۔,نہیں، کسی ملزم کے لیے اپنے خلاف گواہی دینا لازمی ہے۔
81,جی ہاں، مجلس شوریٰ (پارلیمنٹ) بذریعہ قانون وفاق میں نئی ریاستوں یا علاقوں کو ایسی قیود و شرائط پر داخل کر سکے گی جو وہ مناسب سمجھے۔,جی ہاں، پارلیمنٹ بذریعہ قانون وفاق میں نئی ریاستوں یا علاقوں کو ایسی قیود
82,ہر سال قومی اسمبلی کے سامنے بجٹ پیش کرنے کی ذمہ داری وفاقی حکومت کی ہے۔,وفاقی حکومت ہر سال قومی اسمبلی کے سامنے بجٹ پیش کرنے کی ذمہ داری رکھتی ہے۔
83,اگر قومی اسمبلی کی مجموعی رکنیت کی اکثریت سے عدم اعتماد کا ووٹ منظور ہو جائے، تو وزیرِاعظم عہدے پر فائز نہیں رہے گا۔,اگر قومی اسمبلی میں اکثریت سے عدم اعتماد کا ووٹ منظور ہو جائے تو وزیرِاعظم
84,صدر بل کی منظوری دے سکتا ہے یا، کسی ایسے بل کی صورت میں جو مالی بل نہ ہو، اسے مجلس شوریٰ (پارلیمنٹ) میں ایک پیغام کے ساتھ واپس بھیج سکتا ہے کہ بل پر دوبارہ غور کیا جائے اور ممکنہ ترامیم پر غور کیا جائے۔,جب کوئی بل منظوری کے لیے صدر کو پیش کیا جائے تو صدر دس دن کے اندر: - بل کی منظوری
85,وفاقی حکومت پاکستان کی علاقائی سمندری حدود سے باہر براعظمی کنارے یا سمندر کے نیچے تمام اراضیات، معدنیات اور دیگر قیمتی اشیاء کی مالک ہے۔,وفاقی حکومت کی ملکیت ہے۔
86,پارلیمانی کمیٹی سینٹ کے چار اراکین پر مشتمل ہوتی ہے۔,پارلیمانی کمیٹی میں سینٹ کے اراکین شامل ہیں۔
87,صدر کے پاس وفاقی قانون کے احکام کے مطابق شجاعت، مسلح افواج میں قابل تعریف خدمت، تعلیمی امتیاز، یا کھیلوں یا نرسنگ کے میدان میں امتیاز کے اعتراف کے طور پر اعزازی نشانات دینے کا اختیار ہے۔,صدر کے پاس شجاعت، مسلح افواج میں قابل تعریف خدمت، تعلیمی امتیاز یا کھیلوں یا نرسنگ کے
88,وزیر اعظم اور وزیر اعلیٰ کے علاوہ دیگر عہدوں کے انتخابات خفیہ رائے دہی کے ذریعے منعقد کیے جاتے ہیں۔,تمام انتخابات، سوائے وزیر اعظم اور وزیر اعلیٰ کے، خفیہ رائے دہی کے
89,اگر پاکستان میں کسی صوبائی قانون کا وفاقی قانون سے تصادم ہو جائے تو وفاقی قانون غالب رہے گا اور صوبائی قانون تناقض کی حد تک باطل ہوگا۔,اگر پاکستان میں کسی صوبائی قانون کا وفاقی قانون سے تصادم ہو جائے تو وہ وفاقی قانون سے
90,جی ہاں، وزیر اعلیٰ گورنر کے نام اپنی دستخطی تحریر کے ذریعے اپنے عہدے سے استعفیٰ دے سکتا ہے۔,جی ہاں، وزیر اعلیٰ گورنر کے نام اپنی دستخطی تحریر کے ذریعے اپنے ع
91,قومی اسمبلی اور سینیٹ کے خرچ پر قومی اسمبلی یا سینیٹ اپنی مالیاتی کمیٹی کے مشورے پر عمل کرتے ہوئے کنٹرول کرتی ہے۔,قومی اسمبلی اور سینیٹ کے خرچ پر قومی اسمبلی یا، جیسی بھی صورت ہو، سینیٹ
92,صدر عدالت عظمیٰ کے دوسرے ججوں میں سے مقدم ترین جج کو قائم مقام چیف جسٹس پاکستان کی حیثیت سے مقرر کرے گا۔,اگر چیف جسٹس پاکستان موجود نہ ہو یا عہدہ خالی ہو تو صدر عدالت عظمیٰ کے دوس
93,صدر صوبائی حکومت کے فرائض اس وقت سنبھال سکتا ہے جب اسے صوبے کے گورنر کی طرف سے رپورٹ موصول ہو اور وہ مطمئن ہو کہ صوبائی حکومت دستور کے احکام کے مطابق نہیں چلائی جا سکتی۔,صدر صوبائی حکومت کے فرائض سنبھال سکتا ہے اگر صوبے کی حکومت دستور کے
94,نہیں، اسلامی تعلیمات سے متعلق نااہلیاں غیر مسلموں پر لاگو نہیں ہوتیں، لیکن ایسا شخص اچھی اخلاقی شہرت کا حامل ہونا چاہیے۔,نہیں، اسلامی تعلیمات سے متعلق نااہلیاں کسی ایسے شخص پر اطلاق نہیں ہوتی جو غیر مسلم ہو،
95,جی ہاں، وفاق کسی بھی مقصد کے لیے جو پارلیمنٹ کے قانون سازی کے دائرہ کار میں آتا ہو، کسی صوبے میں اراضی حاصل کر سکتا ہے۔,جی ہاں، وفاق کسی صوبے میں واقع ہو کسی ایسے مقصد کے لیے جو وفاقی اغراض کے
96,نہیں، کسی شخص کو ایسا کام کرنے پر مجبور نہیں کیا جا سکتا جو قانوناً ضروری نہ ہو۔,نہیں، کسی شخص کو کوئی ایسا کام کرنے پر مجبور نہیں کیا جا سکتا جس کا کرنا اس کے لیے قانون
97,نہیں، کسی ایسے شخص کی درخواست پر یا اس کے بارے میں حکم صادر نہیں کیا جائے گا جو مسلح افواج پاکستان کا رکن ہو، اس کی شرائط ملازمت کی نسبت، اس کی ملازمت سے پیدا ہونے والے کسی معاملے کی نسبت، یا مسلح افواج پاکستان کے ایک رکن کے طور پر اس کے بارے میں کی گئی کسی کارروائی کی نسبت۔,نہیں، پاکستان کی مسلح افواج کا کوئی رکن اس دائرہ اختیار کے تحت حکم کے لیے درخواست
98,جی ہاں، اس باب کے تحت عدالت کے فیصلے عدالت عالیہ اور اس کی ماتحت عدالتوں پر واجب التعمیل ہوتے ہیں۔,جی ہاں، عدالت کے فیصلے عدالت عالیہ اور اس کی ماتحت عدالتوں پر واجب التعمیل ہو
99,عدالت عظمیٰ میں شریعت مرافعہ بینچ تین مسلمان ججوں اور صدر کی طرف سے مقرر کردہ زیادہ سے زیادہ دو علماء پر مشتمل ہو سکتا ہے۔,عدالت عظمیٰ میں شریعت مرافعہ بینچ میں تین مسلمان جج، اور (ب) وفاقی شر
100,گورنر کو کابینہ یا وزیر اعلیٰ کے مشورے پر عمل کرنا ہوتا ہے۔,گورنر کابینہ یا وزیر اعلیٰ کے مشورے پر اور اس کے مطابق عمل کرتا ہے۔
101,کسی صوبائی اسمبلی میں زیر غور کوئی بل، اسمبلی کے تحلیل ہونے پر ساقط ہوجائے گا۔,کسی صوبائی اسمبلی میں زیر غور کوئی بل، اسمبلی کے تحلیل ہونے پر ساقط ہوجائے گا۔
102,دستور میں ترمیم کرنے کا بل کسی بھی ایوان میں شروع کیا جا سکتا ہے۔,دستور میں ترمیم کرنے کے بل کی ابتدا کسی بھی ایوان میں کی جا سکتی ہے اور، جبکہ اس
103,اگر کوئی شخص یوم آغاز سے قبل قومی اسمبلی اور صوبائی اسمبلی دونوں کا رکن ہو، تو اسے کسی ایک نشست سے مستعفی ہونا پڑے گا قبل اس کے کہ وہ کسی بھی اسمبلی میں نشست سنبھالے۔,اگر کوئی شخص یوم آغاز سے قبل قومی اسمبلی اور صوبائی اسمبلی دونوں کا رکن ہو تو
104,سینیٹ کے ارکان کی میعاد چھ سال ہوتی ہے۔,سینیٹ کے ارکان کی میعاد چھ سال ہوتی ہے، جو بحسب ذیل سبکدوش ہونے والے
105,جی ہاں، کوئی ایوان اپنی رکنیت میں خالی جگہوں کے باوجود کام جاری رکھ سکتا ہے۔,جی ہاں، کوئی ایوان اپنی رکنیت میں خالی جگہوں کے باوجود کام کرنے کا اختیار رکھ
106,جی ہاں، صدر گورنر کو وفاق کے ایسے علاقوں سے متعلق کارہائے منصبی انجام دینے کا حکم دے سکتا ہے جو کسی صوبے میں شامل نہیں ہیں۔,جی ہاں، صدر کسی صوبے کے گورنر کو صوبے سے باہر کے معاملات سنبھالنے
107,نتائج کو صرف ایک انتخابی درخواست کے ذریعے ٹربیونل کے سامنے پیش کر کے چیلنج کیا جا سکتا ہے، جو مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے مقرر کیا گیا ہو۔,کسی ایوان یا صوبائی اسمبلی کے کسی انتخاب پر اعتراض نہیں کیا جا سکتا، بجز بذریعہ درخواست
108,قومی مالیاتی کمیشن یوم آغاز سے چھ ماہ کے اندر اور اس کے بعد ایسے وقفوں سے جو پانچ سال سے متجاوز نہ ہوں، تشکیل دیا جانا چاہیے۔,قومی مالیاتی کمیشن ایک بار تشکیل دیا جانا چاہیے، اور اس کے بعد ایسے وقفوں سے جو پانچ
109,جی ہاں، انتظامی عدالتوں یا ٹربیونلز کے فیصلوں کے خلاف عدالت عظمیٰ میں اپیل کی جا سکتی ہے، لیکن صرف اس صورت میں جب عدالت عظمیٰ اس بات کا اطمینان کر لے کہ مقدمے میں عوامی اہمیت کا حامل کوئی اہم امر قانونی شامل ہے اور اپیل دائر کرنے کی اجازت دے دے۔,جی ہاں، انتظامی عدالتوں یا ٹربیونلز کے کسی فیصلے، ڈگری، حکم یا
110,اگر کسی خدمت کے لیے مختص کردہ بجٹ مالی سال کے دوران ناکافی ہو تو صوبائی حکومت صوبائی مجموعی فنڈ سے اضافی خرچ کی منظوری دے سکتی ہے اور صوبائی اسمبلی کے سامنے ایک ضمنی کیفیت نامہ میزانیہ پیش کر سکتی ہے۔,اگر کسی خدمت کے لیے مختص کردہ بجٹ مالی سال کے دوران ناکافی ہو تو صوبائی
111,کوئی شخص سنگین غداری کا مجرم ہو سکتا ہے اگر وہ طاقت کے استعمال، طاقت کے مظاہرے، یا کسی دیگر غیر آئینی ذرائع سے دستور کی تنسیخ، تخریب، معطلی، یا التواء میں رکھے، یا اگر وہ ایسا کرنے کی کوشش یا سازش کرے۔,دستور کی تنسیخ کرے، تخریب کرے، یا معطل کرے، یا التواء میں رکھے، یا ا
112,جی ہاں، عدالت عظمیٰ انصاف کے مفاد میں کسی مقدمے، اپیل یا دیگر کارروائی کو ایک عدالت عالیہ سے دوسری عدالت عالیہ میں منتقل کر سکتی ہے۔,جی ہاں، عدالت عظمیٰ کسی عدالت عالیہ کے سامنے زیر سماعت مقدمے، اپ
113,عدالت عالیہ سندھ و بلوچستان، بلوچستان اور سندھ کے صوبوں کے لیے مشترکہ عدالت عالیہ کے طور پر کام کرنا بند کر دے گی۔,بلوچستان اور سندھ کے صوبوں کے لیے عدالت عالیہ کے حوالے سے آئین (پانچویں ترمیم) ایکٹ
114,وفاق کا یہ فرض ہوگا کہ ہر صوبے کو بیرونی جارحیت اور اندرونی خلفشار سے محفوظ رکھے۔,وفاق صوبوں کے تحفظ کے حوالے سے ذمہ داری رکھتا ہے۔
115,اگر صدر صوبائی اسمبلی کی قرارداد کے بغیر داخلی خلفشار کی وجہ سے ہنگامی حالت کا اعلان کرے تو ہنگامی حالت کے اعلان کو مجلس شوریٰ (پارلیمنٹ) کے دونوں ایوانوں کے روبرو دس دن کے اندر منظوری کے لیے پیش کیا جائے گا۔,اگر صدر داخلی خلفشار کی وجہ سے ہنگامی حالت کا اعلان کرے تو اس صوبے کی صوب
116,جی ہاں، وفاقی حکومت صوبے کو ایسے ذرائع مواصلات کی تعمیر اور نگہداشت کے بارے میں ہدایات دے سکتی ہے جنہیں قومی یا فوجی اہمیت کا حامل قرار دیا گیا ہو۔,جی ہاں، وفاقی حکومت صوبے کو ایسے ذرائع مواصلات کی تعمیر اور نگہداشت کے
117,صدر کو قومی اسمبلی کے لیے ہر عام انتخاب کے بعد پہلے اجلاس کے آغاز پر اور ہر سال کے پہلے اجلاس کے آغاز پر دونوں ایوانوں سے یکجا خطاب کرنا ہوتا ہے۔,صدر کو دونوں ایوانوں سے یکجا خطاب کرنا ہوتا ہے اگر قومی اسمبلی کے لیے ہر عام
118,جی ہاں، ۱۹۷۷ء اور ۲۰۰۲ء کے فرامین کے تحت منعقد شدہ انتخابات کا اثر ایسے ہوگا جیسے وہ دستور کے تحت منعقد ہوئے ہوں۔,جی ہاں، انتخابات کا کوئی قانونی اثر نہیں ہے۔
119,وزیر اعظم مشترکہ مفادات کی کونسل کا چیئرمین ہوتا ہے۔,مشترکہ مفادات کی کونسل کا چیئرمین وزیر اعظم ہے۔
120,نہیں، کسی شخص کو شہادت حاصل کرنے کی غرض سے اذیت نہیں دی جائے گی۔,نہیں، کسی شخص کو شہادت حاصل کرنے کے لئے اذیت نہیں دی جائے گی۔
121,سینیٹ میں اسپیکر اور ڈپٹی اسپیکر کے مساوی عہدے چیئرمین اور ڈپٹی چیئرمین ہیں۔,سینیٹ میں اسپیکر اور ڈپٹی اسپیکر کے مساوی عہدے سینیٹ میں ہیں۔
122,مالی بل کی ابتدا قومی اسمبلی میں ہوگی۔,مالی بل اپنی قانون سازی کا عمل قومی اسمبلی میں کرتا ہے۔
123,عارضی تقرری اس وقت تک برقرار رہتی ہے جب تک کہ صدر اس کو منسوخ نہ کر دے۔,عدالت عظمیٰ کے جج کی عارضی تقرری اس وقت تک برقرار رہتی ہے جب تک کہ صدر
